run_id,agent_id,agent_type,timestep,x,y,z,connected_to,synapse_formed
1,2,GrowthCone,1,11.114808659069409,59.22308151694351,10.978486734944347,0,0
1,1,Target,1,100.0,60.0,100.0,0,0
1,2,GrowthCone,2,12.053983280669456,59.034159400241585,12.132722180580668,0,0
1,1,Target,2,100.0,60.0,100.0,0,0
1,2,GrowthCone,3,13.184425194732778,59.0278999197525,13.11865417510811,0,0
1,1,Target,3,100.0,60.0,100.0,0,0
1,2,GrowthCone,4,14.093714989467374,59.07885630122541,14.31054155081888,0,0
1,1,Target,4,100.0,60.0,100.0,0,0
1,2,GrowthCone,5,15.226952381112197,59.30654140128348,15.266539725184073,0,0
1,1,Target,5,100.0,60.0,100.0,0,0
1,2,GrowthCone,6,16.242968993140295,59.439171490048786,16.36203938453457,0,0
1,1,Target,6,100.0,60.0,100.0,0,0
1,2,GrowthCone,7,17.442436356614976,59.42379477247889,17.262617865576544,0,0
1,1,Target,7,100.0,60.0,100.0,0,0
1,2,GrowthCone,8,18.620675729105276,59.267703440918055,18.177706646693014,0,0
1,1,Target,8,100.0,60.0,100.0,0,0
1,2,GrowthCone,9,19.762831602302445,59.22923137434,19.149303199493833,0,0
1,1,Target,9,100.0,60.0,100.0,0,0
1,2,GrowthCone,10,20.653736718429087,59.34320416831946,20.350676695244378,0,0
1,1,Target,10,100.0,60.0,100.0,0,0
1,2,GrowthCone,11,21.65209264286233,59.14752270618769,21.452944454696237,0,0
1,1,Target,11,100.0,60.0,100.0,0,0
1,2,GrowthCone,12,22.785503252512033,59.1280990527895,22.43529017368836,0,0
1,1,Target,12,100.0,60.0,100.0,0,0
1,2,GrowthCone,13,23.82907363783858,59.05463429367678,23.510261698910266,0,0
1,1,Target,13,100.0,60.0,100.0,0,0
1,2,GrowthCone,14,24.760442506016798,59.19339521057201,24.67786498741661,0,0
1,1,Target,14,100.0,60.0,100.0,0,0
1,2,GrowthCone,15,25.811701784993875,59.37578872352755,25.732183029942835,0,0
1,1,Target,15,100.0,60.0,100.0,0,0
1,2,GrowthCone,16,26.98894067360807,59.40898916733706,26.661164369725967,0,0
1,1,Target,16,100.0,60.0,100.0,0,0
1,2,GrowthCone,17,27.994971019433482,59.17810400294773,27.749555376737376,0,0
1,1,Target,17,100.0,60.0,100.0,0,0
1,2,GrowthCone,18,29.01008282599183,59.43686121822276,28.823144089293987,0,0
1,1,Target,18,100.0,60.0,100.0,0,0
1,2,GrowthCone,19,29.9101361023134,59.49053613831971,30.02190307371721,0,0
1,1,Target,19,100.0,60.0,100.0,0,0
1,2,GrowthCone,20,31.132895285674714,59.493344893785284,30.890725316985822,0,0
1,1,Target,20,100.0,60.0,100.0,0,0
1,2,GrowthCone,21,32.12112470749429,59.73768782312023,31.992405462370208,0,0
1,1,Target,21,100.0,60.0,100.0,0,0
1,2,GrowthCone,22,33.3247733910049,59.675456074226,32.88535398054622,0,0
1,1,Target,22,100.0,60.0,100.0,0,0
1,2,GrowthCone,23,34.40827993735517,59.53682063863136,33.913358737351174,0,0
1,1,Target,23,100.0,60.0,100.0,0,0
1,2,GrowthCone,24,35.40410423892243,59.35392305395924,35.02010280619871,0,0
1,1,Target,24,100.0,60.0,100.0,0,0
1,2,GrowthCone,25,36.38954598547344,59.46561656789098,36.145460137494005,0,0
1,1,Target,25,100.0,60.0,100.0,0,0
1,2,GrowthCone,26,37.31637660698094,59.299113549464316,37.313048140126284,0,0
1,1,Target,26,100.0,60.0,100.0,0,0
1,2,GrowthCone,27,38.33703543443714,59.06575251483951,38.38719812288222,0,0
1,1,Target,27,100.0,60.0,100.0,0,0
1,2,GrowthCone,28,39.333710654690975,59.321649256482715,39.4785987656108,0,0
1,1,Target,28,100.0,60.0,100.0,0,0
1,2,GrowthCone,29,40.37539343445238,59.488365102024986,40.54494899569174,0,0
1,1,Target,29,100.0,60.0,100.0,0,0
1,2,GrowthCone,30,41.425234681087915,59.74675616891993,41.58469291291926,0,0
1,1,Target,30,100.0,60.0,100.0,0,0
1,2,GrowthCone,31,42.563059546645626,59.60419600359401,42.55166301306757,0,0
1,1,Target,31,100.0,60.0,100.0,0,0
1,2,GrowthCone,32,43.72300521180363,59.71006716724751,43.49681768326066,0,0
1,1,Target,32,100.0,60.0,100.0,0,0
1,2,GrowthCone,33,44.635016930258985,59.79851416925089,44.68442525869824,0,0
1,1,Target,33,100.0,60.0,100.0,0,0
1,2,GrowthCone,34,45.79324127568197,59.99160082130263,45.617824375083586,0,0
1,1,Target,34,100.0,60.0,100.0,0,0
1,2,GrowthCone,35,46.7719446423174,60.0107605445112,46.754386131057736,0,0
1,1,Target,35,100.0,60.0,100.0,0,0
1,2,GrowthCone,36,47.90842309231266,59.798622560027496,47.710113188452034,0,0
1,1,Target,36,100.0,60.0,100.0,0,0
1,2,GrowthCone,37,48.88195026703621,59.920068253146525,48.84479190231672,0,0
1,1,Target,37,100.0,60.0,100.0,0,0
1,2,GrowthCone,38,50.085918873235634,60.02813554565422,49.73292536952549,0,0
1,1,Target,38,100.0,60.0,100.0,0,0
1,2,GrowthCone,39,51.08017235848283,60.114534084595,50.85274468510399,0,0
1,1,Target,39,100.0,60.0,100.0,0,0
1,2,GrowthCone,40,52.270286699384236,60.247202816202915,51.75608673728266,0,0
1,1,Target,40,100.0,60.0,100.0,0,0
1,2,GrowthCone,41,53.270160526190374,60.03793797530026,52.85447672122736,0,0
1,1,Target,41,100.0,60.0,100.0,0,0
1,2,GrowthCone,42,54.41993617117003,59.84290473704596,53.79786317554375,0,0
1,1,Target,42,100.0,60.0,100.0,0,0
1,2,GrowthCone,43,55.37596350692417,59.702299622397554,54.94513905127092,0,0
1,1,Target,43,100.0,60.0,100.0,0,0
1,2,GrowthCone,44,56.31966969269607,59.66151125515434,56.11036647286444,0,0
1,1,Target,44,100.0,60.0,100.0,0,0
1,2,GrowthCone,45,57.53353854080269,59.62871648567111,56.99096111439415,0,0
1,1,Target,45,100.0,60.0,100.0,0,0
1,2,GrowthCone,46,58.657120431502605,59.59002493072627,57.98397002596905,0,0
1,1,Target,46,100.0,60.0,100.0,0,0
1,2,GrowthCone,47,59.8628945797122,59.65503602186344,58.873847692583176,0,0
1,1,Target,47,100.0,60.0,100.0,0,0
1,2,GrowthCone,48,60.718010237741915,59.6566312476412,60.10623345469142,0,0
1,1,Target,48,100.0,60.0,100.0,0,0
1,2,GrowthCone,49,61.67097543066955,59.45167067855634,61.24634244342399,0,0
1,1,Target,49,100.0,60.0,100.0,0,0
1,2,GrowthCone,50,62.67721335995317,59.30831632697641,62.349490103329096,0,0
1,1,Target,50,100.0,60.0,100.0,0,0
1,2,GrowthCone,51,63.6158352425286,59.5210088247214,63.50003382824943,0,0
1,1,Target,51,100.0,60.0,100.0,0,0
1,2,GrowthCone,52,64.79444010082545,59.57316150826233,64.42640885252337,0,0
1,1,Target,52,100.0,60.0,100.0,0,0
1,2,GrowthCone,53,65.71990064104969,59.76596130904202,65.5910336956841,0,0
1,1,Target,53,100.0,60.0,100.0,0,0
1,2,GrowthCone,54,66.80925111732085,59.98525315865167,66.59861824525926,0,0
1,1,Target,54,100.0,60.0,100.0,0,0
1,2,GrowthCone,55,67.9535236768987,60.10740370688584,67.5607614533958,0,0
1,1,Target,55,100.0,60.0,100.0,0,0
1,2,GrowthCone,56,68.88009088573898,59.935685386379696,68.72780302330858,0,0
1,1,Target,56,100.0,60.0,100.0,0,0
1,2,GrowthCone,57,69.93372562738169,59.73591201891815,69.77658538054796,0,0
1,1,Target,57,100.0,60.0,100.0,0,0
1,2,GrowthCone,58,71.14495377938364,59.7137420973627,70.66113886020656,0,0
1,1,Target,58,100.0,60.0,100.0,0,0
1,2,GrowthCone,59,72.05977853234272,59.86685984225419,71.83997329623763,0,0
1,1,Target,59,100.0,60.0,100.0,0,0
1,2,GrowthCone,60,72.97498147344022,60.035388228520986,73.01640933769029,0,0
1,1,Target,60,100.0,60.0,100.0,0,0
1,2,GrowthCone,61,74.10975090225232,59.95547758347392,73.9941171837474,0,0
1,1,Target,61,100.0,60.0,100.0,0,0
1,2,GrowthCone,62,75.0572813601079,60.026771382785185,75.15476494496342,0,0
1,1,Target,62,100.0,60.0,100.0,0,0
1,2,GrowthCone,63,76.09928264985757,60.27197833418305,76.20552983928857,0,0
1,1,Target,63,100.0,60.0,100.0,0,0
1,2,GrowthCone,64,77.06045847328993,60.142654704844354,77.34982719371347,0,0
